chapter	lang	rc
age_pyramid	de	0
cleaning	de	0
contact_tracing	de	0
epicurves	de	0
factors	de	0
ggplot_basics	de	0
heatmaps	de	0
interactive_plots	de	0
iteration	de	0
missing_data	de	0
moving_average	de	0
regression	de	0
standardization	de	0
survey_analysis	de	0
tables_descriptive	de	0
time_series	de	0
writing_functions	de	0
age_pyramid	es	0
cleaning	es	0
contact_tracing	es	0
epicurves	es	0
factors	es	0
ggplot_basics	es	0
heatmaps	es	0
interactive_plots	es	0
iteration	es	0
missing_data	es	0
moving_average	es	0
regression	es	0
standardization	es	0
survey_analysis	es	0
tables_descriptive	es	0
time_series	es	0
writing_functions	es	0
age_pyramid	fr	0
cleaning	fr	0
contact_tracing	fr	0
epicurves	fr	0
factors	fr	0
ggplot_basics	fr	0
heatmaps	fr	0
interactive_plots	fr	0
iteration	fr	0
missing_data	fr	0
moving_average	fr	0
regression	fr	0
standardization	fr	0
survey_analysis	fr	0
tables_descriptive	fr	0
time_series	fr	0
writing_functions	fr	0
age_pyramid	jp	0
cleaning	jp	0
contact_tracing	jp	0
epicurves	jp	0
factors	jp	0
ggplot_basics	jp	0
heatmaps	jp	0
interactive_plots	jp	0
iteration	jp	0
missing_data	jp	0
moving_average	jp	0
regression	jp	0
standardization	jp	0
survey_analysis	jp	0
tables_descriptive	jp	0
time_series	jp	0
writing_functions	jp	0
age_pyramid	pt	0
cleaning	pt	0
contact_tracing	pt	0
epicurves	pt	0
factors	pt	0
ggplot_basics	pt	0
heatmaps	pt	0
interactive_plots	pt	0
iteration	pt	0
missing_data	pt	0
moving_average	pt	0
regression	pt	0
standardization	pt	0
survey_analysis	pt	0
tables_descriptive	pt	0
time_series	pt	0
writing_functions	pt	0
age_pyramid	ru	0
cleaning	ru	0
contact_tracing	ru	0
epicurves	ru	0
factors	ru	0
ggplot_basics	ru	0
heatmaps	ru	0
interactive_plots	ru	0
iteration	ru	0
missing_data	ru	0
moving_average	ru	0
regression	ru	0
standardization	ru	0
survey_analysis	ru	0
tables_descriptive	ru	0
time_series	ru	0
writing_functions	ru	0
age_pyramid	tr	0
cleaning	tr	0
contact_tracing	tr	0
epicurves	tr	0
factors	tr	0
ggplot_basics	tr	0
heatmaps	tr	0
interactive_plots	tr	0
iteration	tr	0
missing_data	tr	0
moving_average	tr	0
regression	tr	0
standardization	tr	0
survey_analysis	tr	0
tables_descriptive	tr	0
time_series	tr	0
writing_functions	tr	0
age_pyramid	vn	0
cleaning	vn	0
contact_tracing	vn	0
epicurves	vn	0
factors	vn	0
ggplot_basics	vn	0
heatmaps	vn	0
interactive_plots	vn	0
iteration	vn	0
missing_data	vn	0
moving_average	vn	0
regression	vn	0
standardization	vn	0
survey_analysis	vn	0
tables_descriptive	vn	0
time_series	vn	0
writing_functions	vn	0
